JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	445711	TVA Collectée 20%			F-WBC17-00295	20180101	31-12-2017 APERAM	0,00	126,84	AABU	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411000	CLIENTS HORS GROUP	411DAHER	DAHER	F-WBC17-0261	20180101	30-11-2017 DAHER FACT N°F-WBC17-0261	6000,00	0,00	AAAC	20180123	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	409800	Avoir à recevoir			NonDispo	20180101	31-12-2017 Avoir à recevoir SCIENCESPO	2000,00	0,00	AAAD	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	401200	FOURNISSEURS GROUPE	401WBFS	WILL BE FINANCIAL SERVICES	F-WBFS17-00159	20180101	31-12-2017 WILL BE FINANCIAL SERVICES	0,00	19730,69	AABC	20180411	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411500	CLIENTS GROUPE	411WBGSPRL	WILL BE GROUP SPRL	F-WBC17-0043	20180101	31-03-2017 WILL BE GROUP SPRL FACT N°F-WBC17-0043	8314,25	0,00	AABC	20180314	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411000	CLIENTS HORS GROUP	411CDB	CELLULOSES DE BROCELIANDE	F-WBC17-0270	20180101	30-11-2017 CELLULOSES DE BROCELIANDE FACT N°F-WBC17-0270	132,50	0,00	AAAK	20180123	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	445711	TVA Collectée 20%			F-WBC17-0261	20180101	30-11-2017 DAHER FACT N°F-WBC17-0261	0,00	1000,00	AABP	20180214	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	401200	FOURNISSEURS GROUPE	401WBGSARL	WILL BE GROUP SARL	F-WBGSARL17-00108	20180101	31-12-2017 WILL BE GROUP SARL	0,00	2560,41	AAAF	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	467501	Débiteur Créditeur - WILL BE GROUP			NonDispo	20180101	23-12-2016 VIR CC - WILL BE GROUP	0,00	70000,00			20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	437000	RETRAITE			NonDispo	20180101	31-12-2017 PREVOYANCE	0,00	281,17	AABH	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	445711	TVA Collectée 20%			F-WBC17-0271	20180101	30-11-2017 CELLULOSES DE BROCELIANDE FACT N°F-WBC17-0271	0,00	44,17	AABP	20180214	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	445860	TVA sur FNP			NonDispo	20180101	31-12-2017 FNP REGEC 2017	1240,00	0,00	AABD	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	467501	Débiteur Créditeur - WILL BE GROUP			NonDispo	20180101	30-07-2017 VIR AVANCE CC - WILL BE GROUP	0,00	30000,00			20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	445711	TVA Collectée 20%			F-WBC17-0115	20180101	30-06-2017 MOZART CONSULTING FACT N°F-WBC17-0115	0,00	3000,00	AACO	20190321	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	467023	NDF Natacha LEYMARIE			NonDispo	20180101	20-03-2017 VIR AVANCE NDF Natacha LEYMARIE	1000,00	0,00			20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411500	CLIENTS GROUPE	411WBGSPRL	WILL BE GROUP SPRL	F-WBC17-0174	20180101	31-07-2017 WILL BE GROUP SPRL FACT N°F-WBC17-0174	6739,35	0,00	AABC	20180314	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	151100	Provisions pour litiges			NonDispo	20180101	REPRISE A NOUVEAU	0,00	5000,00			20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	401000	FOURNISSEURS HORS GROUP	401MOZART	MOZART CONSULTING	07H/332/WBC/2017	20180101	22-12-2017 MOZART CONSULTING	0,00	7830,00	AAAD	20180123	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	401200	FOURNISSEURS GROUPE	401WBGSARL	WILL BE GROUP SARL	F-WBGSAR17-00113	20180101	31-12-2017 WILL BE GROUP SARL	0,00	1277,57	AAAF	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	437000	RETRAITE			NonDispo	20180101	31-12-2017 RETRAITE	0,00	1991,63	AABH	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	401200	FOURNISSEURS GROUPE	401WBFS	WILL BE FINANCIAL SERVICES	F-WBFS17-00170	20180101	31-12-2017 WILL BE FINANCIAL SERVICES	0,00	3023,08	AABC	20180411	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411500	CLIENTS GROUPE	411WBFS	WILL BE FINANCIAL SERVICES	F-WBC17-00287	20180101	31-12-2017 WILL BE FINANCIAL SERVICES	45,00	0,00	AACI	20180411	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411000	CLIENTS HORS GROUP	411EVOLEO	EVOLEO	F-WBC17-0262	20180101	30-11-2017 EVOLEO FACT N°F-WBC17-0262	12231,00	0,00	AAAA	20180214	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411000	CLIENTS HORS GROUP	411MOZART	MOZART CONSULTING	F-WBC17-0115	20180101	30-06-2017 MOZART CONSULTING FACT N°F-WBC17-0115	18000,00	0,00	AAAK	20180503	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	467508	Débiteur Créditeur - WILL BE GROUP SPRL			7225958	20180101	11-05-2017 CHQ ROOM SAVEURS	76,67	0,00	AAAA	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	445666	TVA déductible sur ABS			F-WBFS17-00168	20180101	31-12-2017 WILL BE FINANCIAL SERVICES	1124,08	0,00	AABI	20180622	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	401200	FOURNISSEURS GROUPE	401WBGSARL	WILL BE GROUP SARL	F-WBGSARL17-00106	20180101	31-12-2017 WILL BE GROUP SARL	0,00	1706,94	AAAF	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	428000	Pers. charg. a pay. & prod à recevoir			NonDispo	20180101	31-12-2017 PROV SUR PRIMES 2017	0,00	26234,00	AAAH	20180327	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411500	CLIENTS GROUPE	411WBGSPRL	WILL BE GROUP SPRL	F-WBC17-0145	20180101	30-06-2017 WILL BE GROUP SPRL FACT N°F-WBC17-0145	9243,00	0,00	AABC	20180314	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411000	CLIENTS HORS GROUP	411EVOLEO	EVOLEO	F-WBC17-0263	20180101	30-11-2017 EVOLEO FACT N°F-WBC17-0263	238,15	0,00	AAAA	20180214	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	467506	Débiteur Créditeur - WILL BE GROUP SARL			NonDispo	20180101	08-01-2015 CB Franck CESAR - SNCF CARDINAEL CC WBG SARL	150,00	0,00	AAAA	20180921	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	416000	Clients douteux ou litigieux			NonDispo	20180101	30-11-2017 Créance douteuse FIRMENICH	2323,00	0,00	AAAC	20190205	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	445711	TVA Collectée 20%			F-WBC17-00278	20180101	31-12-2017 DAHER	0,00	2000,00	AABP	20180214	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	445666	TVA déductible sur ABS			F-WBFS17-00159	20180101	31-12-2017 WILL BE FINANCIAL SERVICES	3288,45	0,00	AABI	20180622	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411000	CLIENTS HORS GROUP	411CDB	CELLULOSES DE BROCELIANDE	F-WBC17-0253	20180101	30-11-2017 CELLULOSES DE BROCELIANDE FACT N°F-WBC17-0253	3240,00	0,00	AAAK	20180123	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	467501	Débiteur Créditeur - WILL BE GROUP			NonDispo	20180101	31-08-2016 VIR AVANCE CC WILL BE GROUP	7000,00	0,00			20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411500	CLIENTS GROUPE	411WBFS	WILL BE FINANCIAL SERVICES	F-WBC17-00293	20180101	31-12-2017 WILL BE FINANCIAL SERVICES	3353,47	0,00	AACI	20180411	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	401200	FOURNISSEURS GROUPE	401WBFS	WILL BE FINANCIAL SERVICES	F-WBFS17-00164	20180101	31-12-2017 WILL BE FINANCIAL SERVICES	0,00	2394,50	AABC	20180411	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	401000	FOURNISSEURS HORS GROUP	401ENORA	ENORA CONSULTING	FA170066	20180101	20-12-2017 ENORA	0,00	1473,05	AACU	20180123	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	401200	FOURNISSEURS GROUPE	401WBFS	WILL BE FINANCIAL SERVICES	F-WBFS17-00167	20180101	31-12-2017 WILL BE FINANCIAL SERVICES	0,00	3112,85	AABC	20180411	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411000	CLIENTS HORS GROUP	411APERAM	APERAM	F-WBC17-00291	20180101	31-12-2017 APERAM	9690,00	0,00	AAAX	20180622	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	467506	Débiteur Créditeur - WILL BE GROUP SARL			NonDispo	20180101	23-02-2015 VIRT AVANCE CC WILL BE GROUP SARL	0,00	50000,00	AAAA	20180921	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411500	CLIENTS GROUPE	411WBFS	WILL BE FINANCIAL SERVICES	F-WBC17-00282	20180101	31-12-2017 WILL BE FINANCIAL SERVICES	897,95	0,00	AACI	20180411	20191028		
AN	JOURNAL DES A NOUVEAUX	AN000000001	20180101	411000	CLIENTS HORS GROUP	411DAHER	DAHER	F-WBC17-00278	20180101	31-12-2017 DAHER	12000,00	0,00	AAAD	20180214	20191028		
